Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Colorado
https://www.eia.gov/dnav/ng/hist/n3020co2m.htm
15:28:47 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Colorado  Million Cubic Feet
Oct 1994,3136
Sep 1994,2211
Aug 1994,2192
Jul 1994,2268
Jun 1994,2745
May 1994,4573
Apr 1994,6300
Mar 1994,8295
Feb 1994,9633
Jan 1994,10134
Dec 1993,9396
Nov 1993,6080
Oct 1993,3108
Sep 1993,3012
Aug 1993,2357
Jul 1993,2445
Jun 1993,3119
May 1993,4292
Apr 1993,6499
Mar 1993,9435
Feb 1993,10132
Jan 1993,11775
Dec 1992,10319
Nov 1992,5594
Oct 1992,3078
Sep 1992,2312
Aug 1992,2183
Jul 1992,2430
Jun 1992,3055
May 1992,3631
Apr 1992,5965
Mar 1992,7609
Feb 1992,9450
Jan 1992,10794
Dec 1991,9494
Nov 1991,6096
Oct 1991,3017
Sep 1991,2087
Aug 1991,2040
Jul 1991,2180
Jun 1991,2826
May 1991,4849
Apr 1991,6328
Mar 1991,7910
Feb 1991,9991
Jan 1991,12120
Dec 1990,7682
Nov 1990,5301
Oct 1990,2918
Sep 1990,2069
Aug 1990,2127
Jul 1990,2167
Jun 1990,3122
May 1990,5116
Apr 1990,6902
Mar 1990,8633
Feb 1990,9546
Jan 1990,10718
Dec 1989,8102
Nov 1989,5441
Oct 1989,3232
Sep 1989,2303
Aug 1989,2119
Jul 1989,2328
Jun 1989,3082
May 1989,4160
Apr 1989,6135
Mar 1989,9208
Feb 1989,10845
Jan 1989,10522
