date,allGradesGasPrice,regularGasPrice,midgradeGasPrice,premiumGasPrice
12/16/2002,1.40,1.36,1.46,1.57
06/01/2015,2.67,2.59,2.78,2.96
05/27/2002,1.41,1.37,1.48,1.59
04/08/2002,1.41,1.37,1.48,1.59
09/30/2013,3.52,3.47,3.61,3.75
04/02/2007,2.66,2.62,2.72,2.82
07/14/2008,4.08,4.03,4.15,4.26
05/30/2011,3.76,3.72,3.83,3.94
10/19/2015,2.35,2.26,2.50,2.72
10/21/2002,1.52,1.47,1.59,1.69
09/29/2008,3.59,3.54,3.66,3.76
04/01/2013,3.63,3.58,3.71,3.83
07/25/2011,3.55,3.50,3.61,3.72
02/20/2006,2.23,2.18,2.29,2.39
03/21/2011,3.41,3.37,3.48,3.59
08/30/2004,1.90,1.86,1.97,2.07
11/21/2005,2.32,2.28,2.38,2.49
11/27/2017,2.63,2.51,2.79,3.08
01/28/2013,3.00,2.95,3.06,3.18
07/02/2012,3.65,3.60,3.72,3.83
04/30/2012,3.90,3.86,3.98,4.08
12/15/2003,1.43,1.39,1.50,1.60
04/28/2008,3.53,3.48,3.59,3.70
01/17/2005,1.79,1.74,1.86,1.96
05/15/2017,2.40,2.30,2.56,2.83
12/11/2000,1.54,1.50,1.62,1.72
02/02/2009,1.82,1.77,1.88,1.99
08/06/2007,2.98,2.94,3.05,3.15
01/01/2001,1.47,1.42,1.54,1.64
04/16/2007,2.84,2.80,2.91,3.02
01/23/2012,3.04,2.99,3.11,3.22
03/19/2018,2.50,2.38,2.66,2.94
10/05/2009,2.40,2.36,2.48,2.58
02/05/2018,2.58,2.47,2.74,3.03
12/17/2001,1.08,1.04,1.15,1.26
08/20/2007,2.88,2.83,2.95,3.06
09/23/2013,3.57,3.52,3.66,3.80
04/06/2009,2.04,1.99,2.11,2.22
09/01/2008,3.77,3.72,3.84,3.95
03/15/2010,2.69,2.65,2.76,2.87
04/13/2009,2.05,2.00,2.12,2.23
06/08/2015,2.68,2.61,2.80,2.97
05/21/2012,3.80,3.76,3.87,3.98
04/21/2003,1.56,1.52,1.62,1.72
12/02/2013,3.16,3.10,3.24,3.39
08/27/2018,2.88,2.78,3.03,3.33
02/16/2015,2.14,2.07,2.24,2.40
05/20/2002,1.42,1.38,1.48,1.59
02/25/2002,1.19,1.15,1.26,1.37
10/31/2011,3.53,3.48,3.60,3.71
01/05/2004,1.48,1.44,1.55,1.65
09/06/2010,2.78,2.74,2.85,2.96
01/14/2013,2.89,2.84,2.96,3.07
02/15/2010,2.55,2.50,2.62,2.73
11/19/2007,3.10,3.06,3.17,3.28
08/05/2002,1.51,1.46,1.58,1.68
02/08/2016,1.73,1.63,1.89,2.12
09/26/2011,3.54,3.49,3.61,3.72
10/04/2010,2.74,2.70,2.82,2.93
01/27/2003,1.48,1.44,1.54,1.66
03/12/2012,3.49,3.44,3.56,3.66
11/30/2015,2.01,1.91,2.16,2.40
09/17/2007,2.91,2.86,2.98,3.09
07/07/2003,1.50,1.46,1.57,1.67
06/07/2004,2.03,1.98,2.10,2.20
09/17/2001,1.66,1.62,1.74,1.84
12/13/2004,1.87,1.82,1.94,2.04
01/02/2017,2.34,2.23,2.50,2.76
12/17/2012,3.22,3.17,3.29,3.40
05/11/2009,2.24,2.20,2.31,2.42
10/29/2001,1.34,1.30,1.42,1.53
01/12/2009,1.59,1.55,1.66,1.77
02/14/2011,3.05,3.01,3.12,3.23
06/23/2003,1.53,1.49,1.60,1.70
11/21/2016,2.14,2.03,2.30,2.57
06/21/2004,1.96,1.92,2.03,2.12
06/05/2000,1.56,1.52,1.64,1.74
01/14/2019,2.18,2.07,2.35,2.64
01/15/2018,2.51,2.40,2.67,2.96
06/13/2016,2.36,2.26,2.51,2.76
12/14/2009,2.53,2.48,2.60,2.70
04/15/2013,3.60,3.55,3.68,3.80
03/19/2001,1.46,1.42,1.53,1.64
07/16/2007,3.19,3.15,3.26,3.36
07/08/2002,1.44,1.40,1.52,1.62
09/24/2018,2.98,2.87,3.14,3.44
04/17/2006,2.75,2.71,2.82,2.92
08/25/2014,3.71,3.64,3.81,3.95
01/09/2017,2.37,2.26,2.53,2.79
11/22/2004,1.95,1.90,2.02,2.12
08/02/2010,2.69,2.64,2.76,2.87
01/18/2016,1.88,1.78,2.04,2.28
10/13/2008,3.24,3.19,3.31,3.41
07/26/2010,2.69,2.65,2.76,2.87
11/17/2014,3.00,2.94,3.10,3.25
09/07/2009,2.52,2.48,2.60,2.70
08/07/2017,2.41,2.30,2.58,2.86
02/19/2018,2.54,2.43,2.70,2.99
11/18/2002,1.49,1.45,1.55,1.66
03/22/2010,2.72,2.67,2.78,2.89
02/26/2001,1.50,1.46,1.57,1.68
02/08/2010,2.57,2.53,2.64,2.75
11/16/2015,2.10,2.00,2.25,2.48
08/29/2005,2.65,2.61,2.72,2.82
04/25/2005,2.26,2.22,2.33,2.43
09/09/2013,3.62,3.56,3.70,3.84
05/20/2013,3.88,3.83,3.96,4.09
04/27/2009,2.09,2.04,2.16,2.26
10/14/2002,1.52,1.47,1.59,1.69
01/09/2006,2.32,2.28,2.39,2.49
06/28/2004,1.94,1.89,2.00,2.10
06/11/2012,3.72,3.68,3.80,3.90
08/24/2015,2.92,2.83,3.06,3.27
07/25/2005,2.30,2.25,2.36,2.46
06/04/2012,3.74,3.70,3.81,3.92
03/16/2009,1.87,1.82,1.94,2.04
04/14/2003,1.60,1.56,1.66,1.76
12/12/2005,2.19,2.15,2.26,2.36
03/31/2008,3.24,3.20,3.31,3.42
02/04/2008,2.94,2.89,3.01,3.12
05/07/2001,1.78,1.73,1.86,1.96
03/22/2004,1.74,1.70,1.81,1.91
